CAMPUS,C20AD15R,C20AD16R,C20ADC15R,C20ADC16R,C20ADE15R,C20ADE16R,C20ADM15R,C20ADM16R,C20ADS15R,C20ADS16R,C29AD15R,C29AD16R,C29ADC15R,C29ADC16R,C29ADE15R,C29ADE16R,C29ADM15R,C29ADM16R,C29ADS15R,C29ADS16R,C30AD15R,C30AD16R,C30ADC15R,C30ADC16R,C30ADE15R,C30ADE16R,C30ADM15R,C30ADM16R,C30ADS15R,C30ADS16R,C39AD15R,C39AD16R,C39ADC15R,C39ADC16R,C39ADE15R,C39ADE16R,C39ADM15R,C39ADM16R,C39ADS15R,C39ADS16R,C40AD15R,C40AD16R,C40ADC15R,C40ADC16R,C40ADE15R,C40ADE16R,C40ADM15R,C40ADM16R,C40ADS15R,C40ADS16R,C49AD15R,C49AD16R,C49ADC15R,C49ADC16R,C49ADE15R,C49ADE16R,C49ADM15R,C49ADM16R,C49ADS15R,C49ADS16R,CA0AD15R,CA0AD16R,CA0ADC15R,CA0ADC16R,CA0ADE15R,CA0ADE16R,CA0ADM15R,CA0ADM16R,CA0ADS15R,CA0ADS16R,CA9AD15R,CA9AD16R,CA9ADC15R,CA9ADC16R,CA9ADE15R,CA9ADE16R,CA9ADM15R,CA9ADM16R,CA9ADS15R,CA9ADS16R,CB0AD15R,CB0AD16R,CB0ADC15R,CB0ADC16R,CB0ADE15R,CB0ADE16R,CB0ADM15R,CB0ADM16R,CB0ADS15R,CB0ADS16R,CB9AD15R,CB9AD16R,CB9ADC15R,CB9ADC16R,CB9ADE15R,CB9ADE16R,CB9ADM15R,CB9ADM16R,CB9ADS15R,CB9ADS16R,CE0AD15R,CE0AD16R,CE0ADC15R,CE0ADC16R,CE0ADE15R,CE0ADE16R,CE0ADM15R,CE0ADM16R,CE0ADS15R,CE0ADS16R,CE9AD15R,CE9AD16R,CE9ADC15R,CE9ADC16R,CE9ADE15R,CE9ADE16R,CE9ADM15R,CE9ADM16R,CE9ADS15R,CE9ADS16R,CF0AD15R,CF0AD16R,CF0ADC15R,CF0ADC16R,CF0ADE15R,CF0ADE16R,CF0ADM15R,CF0ADM16R,CF0ADS15R,CF0ADS16R,CF9AD15R,CF9AD16R,CF9ADC15R,CF9ADC16R,CF9ADE15R,CF9ADE16R,CF9ADM15R,CF9ADM16R,CF9ADS15R,CF9ADS16R,CH0AD15R,CH0AD16R,CH0ADC15R,CH0ADC16R,CH0ADE15R,CH0ADE16R,CH0ADM15R,CH0ADM16R,CH0ADS15R,CH0ADS16R,CH9AD15R,CH9AD16R,CH9ADC15R,CH9ADC16R,CH9ADE15R,CH9ADE16R,CH9ADM15R,CH9ADM16R,CH9ADS15R,CH9ADS16R,CI0AD15R,CI0AD16R,CI0ADC15R,CI0ADC16R,CI0ADE15R,CI0ADE16R,CI0ADM15R,CI0ADM16R,CI0ADS15R,CI0ADS16R,CI9AD15R,CI9AD16R,CI9ADC15R,CI9ADC16R,CI9ADE15R,CI9ADE16R,CI9ADM15R,CI9ADM16R,CI9ADS15R,CI9ADS16R,CL0AD15R,CL0AD16R,CL0ADC15R,CL0ADC16R,CL0ADE15R,CL0ADE16R,CL0ADM15R,CL0ADM16R,CL0ADS15R,CL0ADS16R,CL9AD15R,CL9AD16R,CL9ADC15R,CL9ADC16R,CL9ADE15R,CL9ADE16R,CL9ADM15R,CL9ADM16R,CL9ADS15R,CL9ADS16R,CM0AD15R,CM0AD16R,CM0ADC15R,CM0ADC16R,CM0ADE15R,CM0ADE16R,CM0ADM15R,CM0ADM16R,CM0ADS15R,CM0ADS16R,CM9AD15R,CM9AD16R,CM9ADC15R,CM9ADC16R,CM9ADE15R,CM9ADE16R,CM9ADM15R,CM9ADM16R,CM9ADS15R,CM9ADS16R,CR0AD15R,CR0AD16R,CR0ADC15R,CR0ADC16R,CR0ADE15R,CR0ADE16R,CR0ADM15R,CR0ADM16R,CR0ADS15R,CR0ADS16R,CR9AD15R,CR9AD16R,CR9ADC15R,CR9ADC16R,CR9ADE15R,CR9ADE16R,CR9ADM15R,CR9ADM16R,CR9ADS15R,CR9ADS16R,CS0AD15R,CS0AD16R,CS0ADC15R,CS0ADC16R,CS0ADE15R,CS0ADE16R,CS0ADM15R,CS0ADM16R,CS0ADS15R,CS0ADS16R,CS9AD15R,CS9AD16R,CS9ADC15R,CS9ADC16R,CS9ADE15R,CS9ADE16R,CS9ADM15R,CS9ADM16R,CS9ADS15R,CS9ADS16R,CW0AD15R,CW0AD16R,CW0ADC15R,CW0ADC16R,CW0ADE15R,CW0ADE16R,CW0ADM15R,CW0ADM16R,CW0ADS15R,CW0ADS16R,CW9AD15R,CW9AD16R,CW9ADC15R,CW9ADC16R,CW9ADE15R,CW9ADE16R,CW9ADM15R,CW9ADM16R,CW9ADS15R,CW9ADS16R
"105906115",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"105906116",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"130902001",50,-1,-1,-1,40,-1,-1,-1,60,-1,30,57.1,14.3,16.7,22.2,28.6,28.6,50,33.3,57.1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35.8,33.3,13.8,3.7,26.9,19.2,34.4,32.7,28.1,23.1,17.3,22.2,4.5,1.2,13.1,9.1,12.5,12.8,14.5,17.4,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.7,15.8,8.3,0,14.7,3.6,18.6,15.8,16.2,5.3,10.4,10,2.8,0,7.2,1.6,7.1,6.4,8.6,4.7,39.2,35.9,11.4,0,31.5,22.2,34.1,31.8,34.2,25,18.4,25.2,3.4,0,14.9,9.8,12,11.3,17.4,20.7,25,23.3,8.7,0,17.6,7.9,23.2,16.4,17.6,10,11.7,16.9,2.7,0,8.3,4,8.3,7.5,8.9,9.8,-1,.,.,.,-1,.,.,.,-1,.,-1,-1,.,-1,-1,-1,.,-1,-1,-1,0,10,-1,0,0,0,0,12.5,0,0,0,5,0,0,0,0,0,5.6,0,0,33,31.3,15.6,6.4,23,16.9,34.6,33.3,23,21.7,16.4,19.5,5.3,2.3,11.6,8.4,13,14.2,12,14.5,10,10.6,2.8,0,3.8,2.2,7.5,9.7,3.8,0,5,5.7,0.9,0,1.9,0.8,2.5,3.9,2.1,0.8,5.9,14.3,0,0,0,0,0,22.2,0,0,2.3,7.5,0,0,0,0,0,8.8,0,0,48.4,48.1,16.7,8.3,38.7,36.5,47.2,57.6,40.3,42.3,24,28.1,5.5,2.1,19.5,15.2,17.5,18.4,21.2,26.2
"130902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"130902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"144901001",-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51.3,54,19.9,24.3,36.7,37.7,39.2,40.7,28.2,30.8,25.5,26.1,8.6,10.5,17.9,17.9,18.4,17.6,13.6,14.8,29.4,34.4,0,11.5,12.9,12.9,16.7,28.6,9.1,6.3,15.2,17.5,0,5.6,6.6,6.7,8.3,14.3,4.8,3.3,35.1,41.4,9.8,17.2,20.6,23.8,26.7,25.2,14,15.4,16.5,18.1,4.1,7.1,9.6,10.6,12.2,10,6.4,6.7,55.6,61.9,17.9,34.8,42.4,48.5,41.9,47.5,31.5,41.2,28.8,30.3,8.2,15.2,22.1,23.4,21.3,21.4,16.2,20.2,39.6,48.5,12.8,20.5,29.2,34.1,31.2,33,20.4,22,20.6,24.1,6.1,9.2,15.3,16.7,16.2,14.7,10.3,10.8,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,55.6,0,0,0,33.3,0,25,0,0,0,14.3,0,0,0,8.6,0,5.9,0,0,47.1,46.6,21.9,14.6,31,27.1,36.2,33.9,24.8,21,22.5,22.3,8.9,6.3,14.2,12.8,15.8,14.2,11.3,9.8,32,29.8,10.3,2.2,16.7,14.8,24.8,18.9,8.3,3.6,17.1,13.4,4.7,0.9,8.9,6.9,13.1,7.4,4.3,1.6,4.8,0,0,0,0,0,7.7,0,0,0,2.2,0,0,0,0,0,3.4,0,0,0,71.8,65.8,33.7,32.6,53.2,48.2,57,54.3,43.2,47.8,33.5,31.1,13.2,13.7,23.9,22.3,23.5,22.5,19.4,22.1
"144901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"144901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"144901103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"144902001",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,25,0,0,33.3,25,16.7,0,0,14.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63.7,60,0,0,34.6,34.6,56.9,36.7,15.7,20.6,31.8,41.1,0,0,17.1,19.9,26.8,18,8.1,10.6,66.7,0,0,-1,22.2,0,62.5,-1,0,0,26.1,0,0,0,9.5,0,25,0,0,0,57.1,47.8,0,0,23.6,13.6,53.2,18.4,5.5,4.5,27.6,26.3,0,0,11.6,6.2,24,7.7,2.7,2.1,66.7,60,0,0,35.8,42,62.7,42.2,27.8,24.6,31.1,38,0,0,16.1,26.6,27.6,22,13.4,13.4,60,52.6,0,0,10,15.8,52.6,23.5,0,0,33.3,29.3,0,0,5.7,7.3,29.4,10.3,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61.7,60,0,0,33.8,26.9,52.8,30.4,7.5,16.4,32.3,44,0,0,17.9,13.8,26.2,14.2,3.9,8,46.4,28.2,0,0,20,8.3,31.4,12.5,0,2.7,21.3,19.4,0,0,9.6,3.3,14.2,4.7,0,1.1,16.7,18.2,0,0,8.3,0,11.1,0,0,0,5.7,20.8,0,0,3.1,0,3.2,0,0,0,63.7,65.5,0,0,40,39.3,58.7,41.7,20.8,25,31.8,47.8,0,0,19.4,24,27,21.7,10.5,13.4
"144902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"144902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"144903001",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.9,32.1,0,0,0,0,16,45,0,0,6,16.4,0,0,0,0,7.1,19.6,0,0,0,37.5,0,0,-1,0,0,42.9,0,0,0,16.7,0,0,0,0,0,17.6,0,0,10.5,31.6,0,0,0,0,13.3,42.9,0,0,4.1,15.8,0,0,0,0,4.9,18.8,0,0,27.3,20,0,0,0,0,37.5,33.3,0,0,13,8.7,0,0,0,0,15,10.5,0,0,10,44.4,0,0,0,0,12.5,66.7,0,0,4.5,23.5,0,0,0,0,5,30.8,0,0,-1,.,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,5,38.9,0,0,0,0,5.9,50,0,0,2.3,21.9,0,0,0,0,2.8,25.9,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,-1,0,-1,0,-1,0,7.1,0,0,0,0,0,9.1,0,0,16.7,22.2,0,0,0,0,22.2,33.3,0,0,9.5,14.3,0,0,0,0,13.3,18.2,0,0
"150901001",-1,50,-1,-1,-1,60,-1,-1,-1,0,25,21.4,0,0,28.6,25,28.6,18.2,14.3,0,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,0,-1,40,-1,20,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58.6,52.6,13.1,6.5,41.3,26.9,64.4,58,31.8,9.2,27.4,23.4,4.7,2.3,19.5,11.8,29,23.1,15.4,4.4,-1,-1,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,50.5,45.3,3.4,1.4,27.5,20.7,53.7,47.4,19.6,5.3,22.3,18.3,1.2,0.5,12.1,8.2,22.7,17.2,8.8,2.1,62.7,60.4,16.4,6.8,49,35.6,65.6,63.6,35.6,4.9,28.5,26.7,5.6,2.4,22.3,15.6,29.5,25.1,16.7,2.5,53.8,48.4,3.4,0,36.8,12.9,52.8,52,21.1,6.5,25.9,15,1.5,0,18.2,4,26.4,14,10.8,2,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,0,-1,0,-1,0,-1,0,-1,0,55.2,44.9,10.5,6.2,35,18.7,63.4,52.3,28.7,13.5,26.4,20.1,3.9,2.3,17,8.1,28.6,21.1,14.2,6.2,40.7,23.5,4.5,0,22.1,7.4,48.8,27.4,14.3,3.8,17.3,7.9,1.5,0,9.5,2.5,19.2,7.7,6.4,1.3,0,12,0,0,0,4.3,0,15.4,0,0,0,5.3,0,0,0,1.8,0,4.4,0,0,59.3,54.1,16,8.1,41.3,28.9,67.1,59.9,33.5,9.8,27.9,25.3,5.6,3.1,19.5,13.3,29.8,25.5,16.2,5.1
"150901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"150901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"150901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
